"Date","P/E","P/B","Div Yield"
"01-Jan-2015","       21.16","        3.49","        1.27"
"02-Jan-2015","       21.45","        3.54","        1.26"
"05-Jan-2015","       21.40","        3.53","        1.26"
"06-Jan-2015","       20.76","        3.42","        1.30"
"07-Jan-2015","       20.70","        3.41","        1.30"
"08-Jan-2015","       21.04","        3.47","        1.28"
"09-Jan-2015","       21.16","        3.49","        1.27"
"12-Jan-2015","       21.27","        3.51","        1.27"
"13-Jan-2015","       21.21","        3.50","        1.27"
"14-Jan-2015","       21.14","        3.49","        1.27"
"15-Jan-2015","       21.70","        3.58","        1.24"
"16-Jan-2015","       21.75","        3.59","        1.24"
"19-Jan-2015","       21.80","        3.60","        1.23"
"20-Jan-2015","       22.16","        3.67","        1.21"
"21-Jan-2015","       22.21","        3.68","        1.21"
"22-Jan-2015","       22.25","        3.69","        1.20"
"23-Jan-2015","       22.48","        3.73","        1.19"
"27-Jan-2015","       22.67","        3.76","        1.18"
"28-Jan-2015","       22.67","        3.76","        1.18"
"29-Jan-2015","       22.84","        3.77","        1.18"
"30-Jan-2015","       22.48","        3.71","        1.20"
"02-Feb-2015","       22.51","        3.71","        1.20"
"03-Feb-2015","       22.42","        3.69","        1.21"
"04-Feb-2015","       22.53","        3.68","        1.21"
"05-Feb-2015","       22.57","        3.67","        1.21"
"06-Feb-2015","       22.44","        3.65","        1.22"
"09-Feb-2015","       22.59","        3.59","        1.24"
"10-Feb-2015","       22.69","        3.61","        1.23"
"11-Feb-2015","       22.85","        3.64","        1.22"
"12-Feb-2015","       23.07","        3.67","        1.21"
"13-Feb-2015","       23.31","        3.71","        1.20"
"16-Feb-2015","       23.22","        3.74","        1.25"
"18-Feb-2015","       23.28","        3.77","        1.24"
"19-Feb-2015","       23.76","        3.78","        1.24"
"20-Feb-2015","       23.62","        3.75","        1.25"
"23-Feb-2015","       23.41","        3.72","        1.26"
"24-Feb-2015","       23.43","        3.72","        1.26"
"25-Feb-2015","       23.44","        3.72","        1.26"
"26-Feb-2015","       23.22","        3.69","        1.27"
"27-Feb-2015","       23.65","        3.76","        1.24"
"28-Feb-2015","       23.80","        3.78","        1.24"
"02-Mar-2015","       23.95","        3.80","        1.23"
"03-Mar-2015","       24.06","        3.82","        1.22"
"04-Mar-2015","       23.86","        3.79","        1.23"
"05-Mar-2015","       23.90","        3.80","        1.23"
"09-Mar-2015","       23.48","        3.73","        1.25"
"10-Mar-2015","       23.36","        3.71","        1.26"
"11-Mar-2015","       23.32","        3.70","        1.26"
"12-Mar-2015","       23.53","        3.74","        1.25"
"13-Mar-2015","       23.18","        3.68","        1.27"
"16-Mar-2015","       23.14","        3.68","        1.27"
"17-Mar-2015","       23.39","        3.71","        1.26"
"18-Mar-2015","       23.29","        3.70","        1.26"
"19-Mar-2015","       23.15","        3.68","        1.27"
"20-Mar-2015","       22.98","        3.65","        1.28"
"23-Mar-2015","       22.92","        3.64","        1.28"
"24-Mar-2015","       22.90","        3.64","        1.29"
"25-Mar-2015","       22.87","        3.63","        1.29"
"26-Mar-2015","       22.36","        3.55","        1.32"
"27-Mar-2015","       22.30","        3.59","        1.30"
"30-Mar-2015","       22.70","        3.65","        1.28"
"31-Mar-2015","       22.70","        3.65","        1.28"
"01-Apr-2015","       22.95","        3.69","        1.27"
"06-Apr-2015","       23.18","        3.73","        1.26"
"07-Apr-2015","       23.19","        3.73","        1.25"
"08-Apr-2015","       23.33","        3.75","        1.25"
"09-Apr-2015","       23.50","        3.78","        1.24"
"10-Apr-2015","       23.51","        3.78","        1.24"
"13-Apr-2015","       23.66","        3.81","        1.23"
"15-Apr-2015","       23.43","        3.77","        1.25"
"16-Apr-2015","       23.33","        3.75","        1.25"
"17-Apr-2015","       23.06","        3.71","        1.27"
"20-Apr-2015","       22.64","        3.64","        1.29"
"21-Apr-2015","       22.44","        3.61","        1.30"
"22-Apr-2015","       22.59","        3.63","        1.29"
"23-Apr-2015","       22.50","        3.62","        1.30"
"24-Apr-2015","       22.34","        3.58","        1.40"
"27-Apr-2015","       22.26","        3.56","        1.40"
"28-Apr-2015","       22.46","        3.59","        1.39"
"29-Apr-2015","       22.29","        3.57","        1.40"
"30-Apr-2015","       22.07","        3.53","        1.45"
"04-May-2015","       22.47","        3.59","        1.43"
"05-May-2015","       22.45","        3.59","        1.43"
"06-May-2015","       21.71","        3.49","        1.47"
"07-May-2015","       21.61","        3.47","        1.47"
"08-May-2015","       21.92","        3.53","        1.45"
"11-May-2015","       22.41","        3.62","        1.42"
"12-May-2015","       21.92","        3.53","        1.45"
"13-May-2015","       22.17","        3.58","        1.43"
"14-May-2015","       22.14","        3.56","        1.44"
"15-May-2015","       22.24","        3.58","        1.43"
"18-May-2015","       22.57","        3.63","        1.41"
"19-May-2015","       22.55","        3.62","        1.41"
"20-May-2015","       22.69","        3.65","        1.40"
"21-May-2015","       22.67","        3.65","        1.40"
"22-May-2015","       22.94","        3.62","        1.40"
"25-May-2015","       22.64","        3.58","        1.41"
"26-May-2015","       22.55","        3.57","        1.42"
"27-May-2015","       22.60","        3.57","        1.42"
"28-May-2015","       22.61","        3.56","        1.42"
"29-May-2015","       23.12","        3.66","        1.39"
"01-Jun-2015","       23.25","        3.65","        1.39"
"02-Jun-2015","       22.71","        3.57","        1.43"
"03-Jun-2015","       22.41","        3.53","        1.45"
"04-Jun-2015","       22.53","        3.52","        1.45"
"05-Jun-2015","       22.49","        3.47","        1.45"
"08-Jun-2015","       22.29","        3.44","        1.47"
"09-Jun-2015","       22.23","        3.44","        1.47"
"10-Jun-2015","       22.52","        3.48","        1.45"
"11-Jun-2015","       22.08","        3.41","        1.48"
"12-Jun-2015","       22.12","        3.40","        1.49"
"15-Jun-2015","       22.21","        3.41","        1.48"
"16-Jun-2015","       22.30","        3.42","        1.48"
"17-Jun-2015","       22.43","        3.44","        1.47"
"18-Jun-2015","       22.66","        3.48","        1.45"
"19-Jun-2015","       22.79","        3.50","        1.44"
"22-Jun-2015","       23.15","        3.56","        1.42"
"23-Jun-2015","       23.23","        3.57","        1.41"
"24-Jun-2015","       23.17","        3.56","        1.42"
"25-Jun-2015","       23.27","        3.58","        1.41"
"26-Jun-2015","       23.23","        3.56","        1.42"
"29-Jun-2015","       23.05","        3.53","        1.43"
"30-Jun-2015","       23.19","        3.48","        1.44"
"01-Jul-2015","       23.43","        3.52","        1.42"
"02-Jul-2015","       23.40","        3.51","        1.42"
"03-Jul-2015","       23.52","        3.52","        1.43"
"06-Jul-2015","       23.62","        3.54","        1.42"
"07-Jul-2015","       23.59","        3.54","        1.42"
"08-Jul-2015","       23.18","        3.47","        1.45"
"09-Jul-2015","       23.08","        3.46","        1.45"
"10-Jul-2015","       23.17","        3.44","        1.45"
"13-Jul-2015","       23.45","        3.49","        1.44"
"14-Jul-2015","       23.44","        3.48","        1.44"
"15-Jul-2015","       23.63","        3.51","        1.43"
"16-Jul-2015","       23.86","        3.55","        1.41"
"17-Jul-2015","       23.87","        3.52","        1.42"
"20-Jul-2015","       23.88","        3.53","        1.42"
"21-Jul-2015","       23.68","        3.50","        1.43"
"22-Jul-2015","       23.96","        3.54","        1.41"
"23-Jul-2015","       23.84","        3.52","        1.42"
"24-Jul-2015","       23.65","        3.48","        1.43"
"27-Jul-2015","       23.21","        3.42","        1.46"
"28-Jul-2015","       23.02","        3.41","        1.46"
"29-Jul-2015","       23.08","        3.42","        1.45"
"30-Jul-2015","       23.23","        3.44","        1.45"
"31-Jul-2015","       23.53","        3.50","        1.41"
"03-Aug-2015","       23.54","        3.50","        1.41"
"04-Aug-2015","       23.48","        3.49","        1.42"
"05-Aug-2015","       23.62","        3.51","        1.41"
"06-Aug-2015","       23.67","        3.52","        1.40"
"07-Aug-2015","       23.61","        3.49","        1.40"
"10-Aug-2015","       23.54","        3.48","        1.41"
"11-Aug-2015","       23.38","        3.45","        1.42"
"12-Aug-2015","       23.10","        3.40","        1.44"
"13-Aug-2015","       23.16","        3.41","        1.44"
"14-Aug-2015","       23.69","        3.45","        1.42"
"17-Aug-2015","       23.48","        3.44","        1.43"
"18-Aug-2015","       23.45","        3.43","        1.43"
"19-Aug-2015","       23.53","        3.44","        1.42"
"20-Aug-2015","       23.19","        3.39","        1.44"
"21-Aug-2015","       22.99","        3.36","        1.42"
"24-Aug-2015","       21.63","        3.16","        1.51"
"25-Aug-2015","       21.83","        3.19","        1.50"
"26-Aug-2015","       21.59","        3.15","        1.51"
"27-Aug-2015","       22.02","        3.22","        1.48"
"28-Aug-2015","       22.17","        3.22","        1.48"
"31-Aug-2015","       22.08","        3.21","        1.48"
"01-Sep-2015","       21.57","        3.13","        1.52"
"02-Sep-2015","       21.38","        3.11","        1.53"
"03-Sep-2015","       21.68","        3.15","        1.51"
"04-Sep-2015","       21.21","        3.08","        1.54"
"07-Sep-2015","       20.95","        3.04","        1.56"
"08-Sep-2015","       21.31","        3.10","        1.54"
"09-Sep-2015","       21.67","        3.15","        1.51"
"10-Sep-2015","       21.59","        3.14","        1.52"
"11-Sep-2015","       21.59","        3.14","        1.52"
"14-Sep-2015","       21.82","        3.17","        1.50"
"15-Sep-2015","       21.70","        3.15","        1.51"
"16-Sep-2015","       21.89","        3.18","        1.50"
"18-Sep-2015","       22.12","        3.21","        1.48"
"21-Sep-2015","       22.11","        3.21","        1.48"
"22-Sep-2015","       21.65","        3.15","        1.51"
"23-Sep-2015","       21.75","        3.16","        1.51"
"24-Sep-2015","       21.81","        3.17","        1.50"
"28-Sep-2015","       21.78","        3.16","        1.48"
"29-Sep-2015","       21.91","        3.18","        1.48"
"30-Sep-2015","       22.21","        3.22","        1.46"
"01-Oct-2015","       22.21","        3.20","        1.43"
"05-Oct-2015","       22.68","        3.27","        1.40"
"06-Oct-2015","       22.78","        3.29","        1.39"
"07-Oct-2015","       22.84","        3.30","        1.39"
"08-Oct-2015","       22.71","        3.28","        1.40"
"09-Oct-2015","       22.88","        3.30","        1.39"
"12-Oct-2015","       22.73","        3.28","        1.39"
"13-Oct-2015","       22.25","        3.28","        1.40"
"14-Oct-2015","       22.16","        3.27","        1.40"
"15-Oct-2015","       22.35","        3.30","        1.39"
"16-Oct-2015","       22.51","        3.30","        1.38"
"19-Oct-2015","       22.61","        3.31","        1.38"
"20-Oct-2015","       22.51","        3.31","        1.38"
"21-Oct-2015","       22.48","        3.30","        1.38"
"23-Oct-2015","       22.55","        3.32","        1.38"
"26-Oct-2015","       22.45","        3.30","        1.38"
"27-Oct-2015","       22.39","        3.30","        1.39"
"28-Oct-2015","       22.20","        3.27","        1.40"
"29-Oct-2015","       22.19","        3.25","        1.41"
"30-Oct-2015","       22.06","        3.23","        1.41"
"02-Nov-2015","       21.98","        3.22","        1.42"
"03-Nov-2015","       22.02","        3.23","        1.41"
"04-Nov-2015","       21.87","        3.22","        1.42"
"05-Nov-2015","       21.58","        3.19","        1.43"
"06-Nov-2015","       21.57","        3.19","        1.43"
"09-Nov-2015","       21.41","        3.18","        1.44"
"10-Nov-2015","       21.05","        3.13","        1.46"
"11-Nov-2015","       21.17","        3.14","        1.45"
"13-Nov-2015","       20.97","        3.12","        1.47"
"16-Nov-2015","       21.11","        3.14","        1.46"
"17-Nov-2015","       21.19","        3.15","        1.45"
"18-Nov-2015","       20.90","        3.11","        1.47"
"19-Nov-2015","       21.20","        3.15","        1.45"
"20-Nov-2015","       21.24","        3.16","        1.45"
"23-Nov-2015","       21.22","        3.15","        1.45"
"24-Nov-2015","       21.17","        3.15","        1.45"
"26-Nov-2015","       21.31","        3.17","        1.44"
"27-Nov-2015","       21.47","        3.19","        1.43"
"30-Nov-2015","       21.45","        3.19","        1.43"
"01-Dec-2015","       21.51","        3.19","        1.43"
"02-Dec-2015","       21.44","        3.19","        1.44"
"03-Dec-2015","       21.26","        3.16","        1.45"
"04-Dec-2015","       21.04","        3.13","        1.46"
"07-Dec-2015","       20.99","        3.12","        1.47"
"08-Dec-2015","       20.82","        3.09","        1.48"
"09-Dec-2015","       20.58","        3.06","        1.50"
"10-Dec-2015","       20.77","        3.09","        1.48"
"11-Dec-2015","       20.57","        3.05","        1.52"
"14-Dec-2015","       20.69","        3.07","        1.51"
"15-Dec-2015","       20.82","        3.09","        1.50"
"16-Dec-2015","       20.96","        3.11","        1.49"
"17-Dec-2015","       21.21","        3.15","        1.47"
"18-Dec-2015","       20.99","        3.11","        1.49"
